millis;AcX;AcY;AcZ;T(Celsius);GyX;GyY;GyZ
60611;-1464;72;17504;20.81;186;115;-115
60948;-1852;-12;17564;20.81;329;-254;-268
61284;-1664;16;17576;20.91;156;223;111
61621;-1744;84;17620;20.95;261;1436;-307
61958;-1692;268;17588;21.14;277;387;-217
62295;-748;-80;18492;21.28;-88;-4760;-2592
62631;-1288;52;17224;20.86;226;17;-9
62968;-1156;-32;17364;20.48;251;57;27
63305;-1356;-36;17368;20.34;221;50;28
63641;-1276;-32;17420;20.06;229;36;-9
63978;-1276;8;17392;19.97;263;99;0
64315;-1140;96;17372;19.87;221;74;6
64652;-1112;4;17424;19.73;256;51;-26
64988;-1156;-52;17416;19.68;220;100;-7
65325;-1108;-28;17336;19.64;233;47;17
125;-1316;-80;17484;19.78;242;50;-11
462;-1264;36;17460;19.68;251;64;-14
798;-1076;-56;17544;19.64;228;49;26
1135;-1108;32;17552;19.68;246;74;21
1472;-1152;-80;17484;19.59;331;88;-1804
1809;-876;248;17452;19.64;-475;110;-392
2145;-972;80;17480;19.64;250;88;118
2482;-980;92;17408;19.64;340;30;469

