millis;AcX;AcY;AcZ;T(Celsius);GyX;GyY;GyZ
8998;-788;116;17352;26.37;167;93;32
9347;-872;76;17288;26.27;169;136;43
9683;-864;120;17216;26.32;170;115;26
10019;-800;-12;17212;26.27;165;124;38
10356;-796;92;17268;26.32;143;99;9
10693;-856;8;17220;26.22;163;125;20
11030;-756;28;17264;26.27;184;102;26
11366;-968;76;17212;26.22;194;95;26
11703;-792;160;17216;26.27;174;130;26
12040;-908;8;17168;26.37;161;108;26
12377;-848;4;17112;26.32;163;131;33
12712;-820;12;17180;26.27;183;111;24
13049;-848;44;17376;26.27;168;122;24
13386;-760;68;17360;26.32;179;115;34
13723;-820;16;17364;26.27;184;135;27
14060;-724;148;17272;26.22;152;135;32
14396;-772;-8;17216;26.32;161;128;6
14733;-880;-56;17360;26.41;178;128;17
15070;-1000;108;17200;26.32;132;116;38
15407;-884;48;17176;26.32;170;102;40
15742;-808;72;17284;26.32;183;110;25
16079;-732;136;17260;26.32;146;132;24
16416;-932;168;17360;26.27;574;-66;-2794
16753;-812;320;17240;26.32;46;162;23
17090;-932;516;17232;26.37;85;126;2
17426;-1060;416;17056;26.41;143;116;1238
17763;-868;512;17232;26.37;-65;135;2679
18100;-1192;992;17156;26.32;-231;125;4717
18437;-784;148;17264;26.41;-91;84;4678
18774;-372;-92;16796;26.37;-56;69;4422
19110;-724;232;17208;26.32;-350;117;8327
19447;-732;-276;17436;26.27;-328;95;8074
19784;-700;-96;17272;26.32;300;102;684
20121;-804;-64;17228;26.41;248;104;33
20457;-836;-44;17204;26.41;155;101;16
20794;-864;12;17192;26.41;173;146;50
21131;-792;72;17180;26.37;171;130;10
21468;-880;32;17312;26.37;179;93;20
21804;-796;-20;17292;26.27;157;133;38
22140;-884;48;17188;26.32;164;122;59
22477;-796;72;17384;26.27;195;103;22
22814;-768;40;17212;26.37;159;114;15
23151;-860;12;17256;26.37;119;130;15
23487;-692;-460;17256;26.32;262;135;-2436
23824;-2140;1848;17280;26.37;498;159;-4605
24161;-988;-300;17524;26.41;981;104;-11482
24498;-624;28;16940;26.37;666;60;-7254
24835;-704;144;17428;26.41;608;170;-8917
25171;-616;1564;17708;26.46;528;147;-6160
25508;-744;84;17168;26.32;190;111;-8
25845;-860;232;17308;26.37;204;91;299
26182;-684;196;17304;26.32;138;92;60
26518;-748;132;17260;26.37;142;103;200
26855;-948;96;17200;26.37;153;109;102
27192;-768;44;17204;26.37;209;131;35
27529;-828;-12;17356;26.41;128;134;13
27866;-768;52;17236;26.41;171;99;22
28201;-852;32;17372;26.41;197;119;46
28538;-880;40;17284;26.41;182;109;16
28875;-844;152;17116;26.37;164;112;53
29212;-820;-44;17360;26.32;171;115;8
29549;-780;8;17496;26.37;194;103;20
29885;-788;72;17268;26.32;161;96;6
30222;-784;68;17228;26.41;181;100;32
30559;-668;-120;17284;26.37;159;122;8
30896;-676;-40;17216;26.27;155;140;32
31232;-680;-196;17216;26.41;169;104;21
31568;-796;56;17236;26.41;179;120;46
31905;-952;60;17284;26.32;160;119;50
32242;-876;-28;17128;26.37;166;122;26
32579;-832;40;17184;26.37;177;81;35
32915;-844;92;17280;26.37;195;109;25
33252;-872;16;17136;26.32;147;129;29
33589;-888;88;17284;26.32;165;134;27
33926;-840;80;17188;26.41;177;110;29
34262;-952;84;17272;26.41;159;136;11
34598;-828;132;17180;26.41;181;115;28
34935;-836;140;17204;26.41;176;97;32
35272;-736;132;17268;26.41;197;126;26
35609;-772;108;17280;26.37;154;136;30
35945;-824;108;17244;26.32;176;107;32
36282;-816;32;17172;26.41;185;127;4
36619;-720;32;17276;26.41;150;122;32
36956;-844;128;17172;26.41;151;118;10
37293;-828;96;17352;26.32;164;131;32
37628;-864;24;17144;26.51;173;120;36

